model,lead_hours,layer_hpa,component,control_control,control_optimal,optimal_control,optimal_optimal,field_at_control_center,position_in_optimal_field,position_in_control_field,field_at_optimal_center,field_symmetric,position_symmetric,total,interaction
tianxing,120,850–700,v,-0.9038966896816547,1.0844899713905236,-3.0842946714021586,1.3956920742593804,-2.180397981720504,4.479986745661539,1.9883866610721783,0.31120210286885674,-0.9345979394258237,3.2341867033668588,2.299588763941035,2.4916000845893604
tianxing,120,850–500,u,3.7201484928258064,4.914002856369724,5.088278761120357,5.690496414804479,1.3681302682945504,0.6022176536841224,1.1938543635439172,0.7764935584347556,1.072311913364653,0.8980360086140198,1.9703479219786728,-0.5916367098597948
tianxing,120,850–500,v,-0.6308082961486382,1.3048597801419954,-2.8353261924698585,1.5952928225981737,-2.2045178963212204,4.430619015068032,1.9356680762906335,0.2904330424561783,-0.9570424269325211,3.183143545679333,2.226101118746812,2.4949509387773987
tianxing,126,850–700,u,5.298303577132946,5.565276002451286,6.76459717375373,5.625740950025669,1.4662935966207842,-1.1388562237280606,0.26697242531834053,0.06046494757438303,0.7633792720975836,-0.43594189920486004,0.32743737289272357,-1.4058286490464011
tianxing,126,850–700,v,-0.35779104748072865,1.1028872502593356,-2.692248048633828,2.4693668663284454,-2.3344570011530994,5.161614914962273,1.4606782977400643,1.3664796160691097,-0.48398869254199484,3.3111466063511688,2.827157913809174,3.700936617222209
tianxing,126,850–500,u,4.47885640790118,5.295139671650503,5.946692503347744,5.330401065395552,1.4678360954465637,-0.6162914379521913,0.8162832637493231,0.03526139374504922,0.7515487445958065,0.09999591289856591,0.8515446574943724,-1.4325747017015145
tianxing,126,850–500,v,-0.1672195831363606,1.1972812025249115,-2.562443096922931,2.6079750576974146,-2.3952235137865703,5.170418154620346,1.364500785661272,1.410693855172503,-0.49226482930703364,3.2674594701408086,2.7751946408337753,3.805917368959073
tianxing,132,850–700,u,4.642528999960339,4.229333441792342,6.217701168429956,4.264856187367283,1.5751721684696172,-1.9528449810626736,-0.41319555816799713,0.03552274557494073,0.805347457022279,-1.1830202696153354,-0.3776728125930564,-1.5396494228946764
tianxing,132,850–700,v,-0.8698194236963245,-0.2794320963470254,-3.2229891128866552,1.7229241260682804,-2.353169689190331,4.945913238954936,0.590387327349299,2.002356222415306,-0.17540673338751245,2.768150283152117,2.592743549764605,4.355525911605636
tianxing,132,850–500,u,4.118852463626558,4.401483525538909,5.625963862848117,4.236769958419876,1.507111399221559,-1.3891939044282413,0.2826310619123511,-0.1647135671190334,0.6711989160512628,-0.5532814212579451,0.1179174947933177,-1.6718249663405924
tianxing,132,850–500,v,-0.7690792042137181,-0.04265319743342545,-3.2711480852396373,2.0004222465406203,-2.5020688810259193,5.271570331780257,0.7264260067802927,2.043075443974046,-0.22949671852593667,2.998998169280275,2.7695014507543383,4.545144324999964
tianxing,138,850–700,u,4.836720390966048,3.9511287550442167,6.7010811683940705,3.820308454894972,1.8643607774280229,-2.8807727134990984,-0.885591635921831,-0.1308203001492445,0.8667702386393892,-1.8831821747104647,-1.0164119360710755,-1.995181077577267
tianxing,138,850–700,v,-0.2801195726217734,0.485592740288155,-2.812419951488641,2.711421975915787,-2.5323003788668674,5.523841927404428,0.7657123129099284,2.225829235627632,-0.15323557161961765,3.144777120157178,2.9915415485375605,4.7581296144945
tianxing,138,850–500,u,4.287831798409978,4.391469479532645,5.880181455670996,3.9001427538085567,1.5923496572610185,-1.9800387018624397,0.10363768112266758,-0.49132672572408875,0.5505114657684649,-0.938200510369886,-0.3876890446014212,-2.0836763829851073
tianxing,138,850–500,v,-0.09945708782658545,0.625519699260539,-2.6622233879113333,2.928220994898033,-2.562766300084748,5.590444382809366,0.7249767870871244,2.302701295637494,-0.13003250222362706,3.157710584948245,3.027678082724618,4.865467595722242
tianxing,144,850–700,u,4.90355902808234,3.9408097503487527,6.8334658644175885,3.5125576492742168,1.929906836335249,-3.3209082151433718,-0.9627492777335869,-0.42825210107453593,0.7508273676303565,-2.1418287464384793,-1.3910013788081228,-2.358158937409785
tianxing,144,850–700,v,-0.5871787703287974,-0.13358521146587676,-3.4584761031947417,2.1388791476424402,-2.8712973328659444,5.597355250837182,0.45359355886292063,2.272464359108317,-0.2994164868788136,3.0254744048500517,2.7260579179712376,5.143761691974262
tianxing,144,850–500,u,4.573872780875341,4.491097418144442,6.277515914114652,3.641883153757269,1.7036431332393107,-2.6356327603573826,-0.08277536273089936,-0.8492142643871725,0.4272144344260691,-1.359204061544141,-0.9319896271180719,-2.5528573976264832
tianxing,144,850–500,v,-0.2850984355790347,0.03573349554176951,-2.9454349294780933,2.415688421236538,-2.6603364938990586,5.361123350714632,0.3208319311208042,2.3799549256947685,-0.14019078410214503,2.840977640917718,2.7007868568155726,5.040291419593827
tianxing,150,850–700,u,5.503906005298718,4.247135950030604,7.2804540437272465,3.4350736997718463,1.7765480384285288,-3.8453803439554,-1.256770055268114,-0.8120622502587573,0.48224289408488574,-2.5510751996117573,-2.0688323055268714,-2.5886102886872857
tianxing,150,850–700,v,-0.42387637234511943,-0.3916175985357703,-2.922195648035605,1.8570171681311072,-2.4983192756904855,4.779212816166712,0.03225877380934916,2.2486347666668776,-0.12484225451180397,2.405735794988031,2.2808935404762267,4.7469540423573635
tianxing,150,850–500,u,5.253133733980659,4.698441516763248,6.886912957895722,3.4929648149703643,1.633779223915063,-3.393948142925358,-0.5546922172174114,-1.2054767017928838,0.21415126106108962,-1.9743201800713848,-1.7601689190102952,-2.8392559257079473
tianxing,150,850–500,v,-0.23205798676345976,-0.1611628737164424,-2.4844740650944073,2.1896054578789537,-2.2524160783309477,4.674079522973361,0.07089511304701737,2.350768331595396,0.04917612663222415,2.3724873180101893,2.4216634446424132,4.603184409926344
tianxing,156,850–700,u,4.510719780253979,2.6154088108786135,6.4248595099705605,2.0222598160319736,1.9141397297165819,-4.402599693938587,-1.8953109693753651,-0.59314899484664,0.660495367434971,-3.148955331656976,-2.488459964222005,-2.507288724563222
tianxing,156,850–700,v,-1.15586962865574,-1.2647324514344536,-3.120577195174648,0.6975437268683997,-1.964707566518908,3.8181209220430476,-0.10886282277871362,1.9622761783028533,-0.0012156941080273542,1.854629049632167,1.8534133555241397,3.9269837448217615
tianxing,156,850–500,u,4.655670640921884,3.401140683000185,6.33024093570482,2.291064799451063,1.674570294782936,-4.039176136253757,-1.254529957921699,-1.110075883549122,0.28224720561690697,-2.646853047087728,-2.364605841470821,-2.784646178332058
tianxing,156,850–500,v,-1.0302288271672668,-0.8320179543862865,-2.8137223319725826,1.1317058112375336,-1.7834935048053158,3.9454281432101164,0.19821087278098037,1.96372376562382,0.09011513040925212,2.0718195079955484,2.1619346384048006,3.7472172704291364
tianxing,162,850–700,u,4.586115093826332,2.4912726439026764,6.475024555606615,1.9745458104897642,1.8889094617802833,-4.500478745116851,-2.0948424499236555,-0.5167268334129123,0.6860913141836855,-3.2976605975202533,-2.611569283336568,-2.4056362951931956
